PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
喜笑花生 【南紡購物中心】 花漾提盒大禮盒c款(貢糖x1包+雪q餅x1包+黑金剛白芝麻花生糖x1包) ,650.0,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS8R,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS8R/000001_1702379969.jpg?width=320,【喜笑花生】花漾提盒大禮盒700g/盒｜貢糖x1｜雪q餅x1｜花生糖x1(吳啟魯/黑金剛花生/花青素/新鮮),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471607&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000717/goodsimg/0012/471/607/12471607_OR_m.webp,22.0851610800972
喜笑花生 【南紡購物中心】 花漾提盒大禮盒a款(貢糖x1包+雪q餅x1包+黑金剛原味花生糖x1包) ,650.0,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS8Q,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS8Q/000001_1702379944.jpg?width=320,【喜笑花生】花漾提盒大禮盒700g/盒｜貢糖x1｜雪q餅x1｜花生糖x1(吳啟魯/黑金剛花生/花青素/新鮮),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471607&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000717/goodsimg/0012/471/607/12471607_OR_m.webp,22.0851610800972
喜笑花生 【南紡購物中心】 花漾提盒大禮盒b款(貢糖x1包+雪q餅x1包+黑金剛南瓜子花生糖x1包) ,650.0,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS9X,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS9X/000001_1702379957.jpg?width=320,【喜笑花生】花漾提盒大禮盒700g/盒｜貢糖x1｜雪q餅x1｜花生糖x1(吳啟魯/黑金剛花生/花青素/新鮮),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471607&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000717/goodsimg/0012/471/607/12471607_OR_m.webp,22.0851610800972
triarrow 三箭牌 牛軋糖/雪q餅多用途矽膠壓模墊(25x35cm),349.0,https://24h.pchome.com.tw/prod/DECF18-A900HGAFP,https://img.pchome.com.tw/cs/items/DECF18A900HGAFP/000001_1715051808.jpg?width=320,【生活king】牛軋糖/雪q餅多用途矽膠壓模墊(25x35cm),269,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12816296&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1715144470/goodsimg/0012/816/296/12816296_OR_m.webp,15.298489097653361
pungpung 找香香 優果香果乾牛軋糖/雪q餅/燕麥脆片約10010g/袋,299.0,https://24h.pchome.com.tw/prod/DBCZ56-A900FYP6S,https://img.pchome.com.tw/cs/items/DBCZ56A900FYP6S/000001_1675145880.jpg?width=320,【找香香pungpung】優果香果乾牛軋糖/雪q餅/燕麥脆片約100±10g/袋(果乾點心香甜新風味),248,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11010195&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1692461648/goodsimg/0011/010/195/11010195_OR_m.webp,14.959921136545274
喜笑花生 【南紡購物中心】 花漾手提盒(貢糖x1包+雪q餅x1包) ,450.0,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS7V,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS7V/000001_1702379558.jpg?width=320,【喜笑花生】花漾手提盒400g/盒｜貢糖x1包｜雪q餅x1包(吳啟魯/黑金剛花生/花青素/新鮮),373,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471506&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1706000683/goodsimg/0012/471/506/12471506_OR_m.webp,13.872233666049372
福源 【新竹】花生醬雪q餅150g,115.0,https://24h.pchome.com.tw/prod/DBACPI-A900AYWMF,https://img.pchome.com.tw/cs/items/DBACPIA900AYWMF/000001_1604381887.jpg?width=320,【新竹福源】花生醬雪q餅(150g),125,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8225240&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1692978473/goodsimg/0008/225/240/8225240_OR_m.webp,9.459483551973332
喜笑花生 【南紡購物中心】 喜笑雪q餅(每包200g共三包) ,570.0,https://24h.pchome.com.tw/prod/DBDA1X-A900GZS89,https://img.pchome.com.tw/cs/items/DBDA1XA900GZS89/000001_1702379545.jpg?width=320,【喜笑花生】喜笑雪q餅200g/包x3包(吳啟魯/黑金剛花生/花青素/新鮮),473,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471505&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000683/goodsimg/0012/471/505/12471505_OR_m.webp,8.666521678567536
皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪q餅(160g/入共3入)x1盒 ,999.0,https://24h.pchome.com.tw/prod/QFBX3D-A900AREF1,https://img.pchome.com.tw/cs/items/QFBX3DA900AREF1/000001_1594622908.jpg?width=320,【喜笑花生】花漾提盒大禮盒700g/盒｜貢糖x1｜雪q餅x1｜花生糖x1(吳啟魯/黑金剛花生/花青素/新鮮),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471607&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000717/goodsimg/0012/471/607/12471607_OR_m.webp,3.0842626233611354
皇覺 巧克力可可牛軋雪q餅1盒,769.0,https://24h.pchome.com.tw/prod/DBACFN-A900FG10P,https://img.pchome.com.tw/cs/items/DBACFNA900FG10P/000001_1661918139.jpg?width=320,【生活king】牛軋糖/雪q餅多用途矽膠壓模墊(25x35cm),269,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12816296&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1715144470/goodsimg/0012/816/296/12816296_OR_m.webp,3.059697819530672
皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪q餅(160g/入共3入)x3盒 ,2659.0,https://24h.pchome.com.tw/prod/QFBX3D-A900AREET,https://img.pchome.com.tw/cs/items/QFBX3DA900AREET/000001_1594622876.jpg?width=320,【喜笑花生】喜笑雪q餅200g/包x3包(吳啟魯/黑金剛花生/花青素/新鮮),473,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12471505&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i2.momoshop.com.tw/1706000683/goodsimg/0012/471/505/12471505_OR_m.webp,2.6143029460816316
皇覺 【南紡購物中心】 手工蔓越莓雪花餅雪q餅(160g/入共3入)x5盒 ,4299.0,https://24h.pchome.com.tw/prod/QFBX3D-A900AREEU,https://img.pchome.com.tw/cs/items/QFBX3DA900AREEU/000001_1594622884.jpg?width=320,【果乾小弟】奶香果乾雪q餅 雪花餅 大包裝2包(一包內有4種口味 鳳梨/草莓/蔓越莓/芒果),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13263242&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i4.momoshop.com.tw/1726644193/goodsimg/0013/263/242/13263242_OR_m.webp,2.1753823737369093
皇覺 紅寶石蔓越莓牛軋雪q餅1盒,769.0,https://24h.pchome.com.tw/prod/DBACFN-A900FG2AN,https://img.pchome.com.tw/cs/items/DBACFNA900FG2AN/000001_1661934699.jpg?width=320,【溫莎公煮】7種口味雪q餅210g/包x6包(任選蔓越莓/紫心地瓜/鹹蛋黃/抹茶杏仁/檸檬蛋糕/起司乳酪/可可杏仁),"1,394",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9895993&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E9%9B%AAq%E9%A4%85,https://i1.momoshop.com.tw/1693165734/goodsimg/0009/895/993/9895993_OR_m.webp,2.1038741341514275
